user_ID,video_ID,video_name,tracker
2,27,"['..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BarScene_30.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BarScene_30.mp4']",No tracking data submitted.
2,28,"['..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\Birthday_30_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\Birthday_30_rife-ncnn-v23_60.mp4']",No tracking data submitted.
2,29,"['..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\Beauty_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\Beauty_15_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,0,"['..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\Bookcase_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\Bookcase_15.mp4']",No tracking data submitted.
3,1,"['..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\Bookcase_30_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\Bookcase_30_svp_60.mp4']",No tracking data submitted.
3,2,"['..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BirthdayFlashPart1_30.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BirthdayFlashPart1_30.mp4']",No tracking data submitted.
3,3,"['..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BoatPart2_30.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BoatPart2_30.mp4']",No tracking data submitted.
3,4,"['..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BirthdayFlashPart1_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BirthdayFlashPart1_15_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,5,"['..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\Bosphorus_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\Bosphorus_15.mp4']",No tracking data submitted.
3,6,"['..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\Bosphorus_15_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\Bosphorus_15_svp_60.mp4']",No tracking data submitted.
